Unnamed: 0,JobID,Title,ExperienceLevel,Responsibilities,Keywords
910,SDET-E-020,Software Tester (SDET),Experienced,Oversee enterprise-wide test automation initiatives; Design and maintain high-quality test frameworks; Integrate automated testing in CI/CD pipelines; Perform advanced performance and load testing; Mentor and guide SDET teams; Define strategic QA planning and metrics; Collaborate across teams to ensure software quality,Automation Framework; CI/CD; Performance Testing; Selenium; Jenkins; Appium; Code Review; Test Data Management
944,SE014,System Engineer - DevOps Integration,Experienced,Integrate systems with CI/CD pipelines; Deploy containers and clusters; Automate builds and deployments; Collaborate with DevOps teams; Ensure scalability,DevOps; CI/CD; Docker; Kubernetes; Automation
567,JD-JAVA-009,Java Developer,Fresher,Assist in writing entity classes in Hibernate; Learn and use Spring dependency injection; Conduct basic unit testing,Java; Spring; Hibernate; JUnit
106,7,Backend Developer - Entry Level,Fresher,Assist in developing backend services for web apps; Implement RESTful APIs; Work with SQL/NoSQL databases; Optimize performance; Participate in Agile sprints,Backend Developer; Fresher; API Development; Server-Side Development; Agile
587,MKT-E-009,Marketing Specialist,Experienced,Develop and execute marketing strategies; Manage SEO/SEM and PPC campaigns; Oversee content and social media marketing; Coordinate email campaigns and automation; Analyze marketing performance and ROI; Lead lead generation initiatives; Manage brand assets; Coordinate multi-channel campaigns,Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Social Media; Analytics; Lead Generation; Brand Management
55,AI-E-016,AI Prompt Engineer,Experienced,Develop and optimize AI prompts; Lead prompt engineering initiatives; Collaborate with AI/data teams; Design evaluation metrics for prompt quality; Document prompt optimization strategies; Mentor junior engineers,Prompt Optimization; LLM; Python; AI Frameworks; Model Fine-tuning
213,CA014,Cloud Automation Engineer,Experienced,Automate infrastructure provisioning; Maintain Infrastructure as Code; Support scaling workloads,Automation; Terraform; CloudFormation; Ansible; AWS; Python; IaC
120,BDS-F-001,Big Data Specialist,Fresher,Assist in processing and analyzing big data; Support ETL pipeline development; Learn and implement Hadoop and Spark tasks; Collaborate with team members on data projects; Document data processing workflows; Apply basic statistical and data mining techniques,Apache Spark; Hadoop; Java; Python; SQL; NoSQL; ETL; Big Data Analytics; Data Mining; Linux
506,IOS-F-02,Junior iOS Developer,Fresher,Support the team in coding features for iOS apps.; Implement UI components using UIKit and Interface Builder.; Consume REST APIs and handle JSON data.; Participate in writing unit test cases for app modules.; Assist with initial App Store submission processes.,Swift; iOS SDK; Cocoa Touch; REST APIs; Git; Unit Testing
25,AI006,AI Engineer - Fresher,Entry-Level,Build and train basic AI models; Preprocess datasets; Implement feature engineering techniques; Collaborate in small teams,AI; ML; Fresher; Entry-Level; Python; TensorFlow; PyTorch
72,AND-E-03,Lead Android Engineer,Experienced,Architect and lead Android app development projects.; Implement MVVM and modular design patterns.; Optimize app memory and multi-threading performance.; Integrate cloud services like Firebase for analytics and messaging.; Mentor team members and ensure high code quality.,Kotlin; Jetpack; MVVM; Room; Material Design; Dependency Injection; Performance Optimization; CI/CD; Firebase; REST API; Play Store; Debugging; Agile; Unit Testing; Android NDK
578,JD-JAVA-020,Java Developer,Experienced,Lead design of scalable Java systems; Guide team in microservices adoption; Ensure best practices in coding and architecture,Java; System Design; Microservices; Spring Boot; Leadership
44,AI-F-005,AI Prompt Engineer,Fresher,Assist in prompt development for AI models; Test prompt performance; Collaborate with AI/data science teams; Document experiments; Support AI integration projects; Learn prompt optimization techniques,Prompt Engineering; NLP; Python; TensorFlow; PyTorch; Hugging Face; GPT; AI Model Optimization
584,MKT-E-006,Marketing Specialist,Experienced,Plan and execute multi-channel campaigns; Optimize SEO/SEM and PPC campaigns; Develop lead generation strategies; Oversee email marketing automation; Analyze campaign performance and report ROI; Create marketing content and collateral; Collaborate with cross-functional teams,Digital Marketing; SEO; SEM; PPC; Email Marketing; Lead Generation; Campaign Management; Analytics; Content Creation; Multi-channel Marketing
370,DMS-F-004,Digital Marketing Specialist,Fresher,Support digital campaign creation; Assist in content and social media management; Monitor analytics metrics; Help with email marketing campaigns; Collaborate with team members; Assist with SEO/SEM tasks,Digital Marketing; SEO; SEM; Content Creation; Email Marketing; Social Media Marketing; Google Analytics; CMS
331,DE-E-002,Data Engineer,Experienced,Build scalable data pipelines; Implement data quality frameworks; Work on Snowflake and Redshift; Collaborate with analysts to deliver insights; Automate ETL processes using Airflow,Python; SQL; ETL; Snowflake; Kafka; Airflow; AWS
381,DMS-E-015,Digital Marketing Specialist,Experienced,"Lead digital marketing strategy and campaigns; Optimize SEO, SEM, and PPC performance; Manage content creation and social media initiatives; Implement automated and personalized email campaigns; Analyze marketing performance and provide insights; Oversee lead generation and CRM processes; Integrate brand strategy and UX across campaigns; Coordinate cross-channel campaigns; Lead marketing teams; Manage budgets and maximize ROI; Leverage AI and emerging technologies in marketing; Optimize campaigns using data-driven strategies",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX Integration; AI Marketing Tools; Analytics; Campaign Optimization
380,DMS-E-014,Digital Marketing Specialist,Experienced,"Plan and implement strategic digital marketing campaigns; Optimize SEO, SEM, and PPC performance; Oversee content and social media marketing; Manage automated email campaigns; Analyze performance metrics to optimize campaigns; Drive lead generation and CRM efforts; Integrate brand and UX/UI strategies; Lead marketing teams; Manage budget and track ROI; Implement AI-driven marketing solutions; Improve conversion rates through data insights",Digital Marketing; SEO; SEM; PPC; Content Marketing; Email Marketing; Lead Generation; Brand Strategy; UX/UI; AI Marketing Tools; Analytics; Conversion Optimization
1015,UXF008,UX Apprentice,Fresher,Learn UX workflow by assisting in design phases; Create draft user journeys; Design low-fidelity clickable prototypes; Observe usability testing sessions; Help document user requirements,Figma; Wireframing; Prototyping; User Flows; Information Architecture
823,SEO-013,SEO Specialist,Mid-Level,Conduct technical SEO audits; Optimize website pages for on-page SEO; Support off-page SEO strategies; Coordinate content marketing efforts; Lead link building initiatives; Track performance using analytics tools; Optimize page speed and implement schema markup; Report SEO insights to team,Technical SEO; On-Page SEO; Off-Page SEO; Content Marketing; Link Building; GA4; Search Console; Schema Markup; Page Speed
394,ETH-E-008,Ethical Hacker,Experienced,Lead complex penetration testing engagements; Perform advanced vulnerability assessments; Conduct web application and network security audits; Mentor junior ethical hackers; Ensure organizational compliance with security frameworks; Perform malware analysis and reverse engineering; Provide actionable recommendations for risk mitigation,Ethical Hacking; Penetration Testing; Network Security; Python; Linux; Windows Security; Metasploit; Burp Suite; Cryptography; Malware Analysis
653,OM-103,Operations Manager,Fresher,Assist in daily operations management; Support scheduling and resource allocation; Observe and document workflow processes; Prepare basic operational reports; Collaborate with team members; Learn ERP/CRM and operational tools; Identify minor process improvement opportunities; Participate in team meetings; Support senior managers; Develop communication and coordination skills,Operations Management; Team Coordination; Process Observation; ERP; CRM; Time Management; Collaboration; Data Reporting; Problem Solving; Adaptability
333,DE-E-004,Data Engineer,Experienced,Lead development of data architecture; Manage large-scale Spark jobs; Implement governance and compliance controls; Mentor junior engineers; Deploy scalable pipelines on cloud,Python; SQL; Spark; Hadoop; AWS; Snowflake; Airflow
