,JobID,Title,ExperienceLevel,Responsibilities,Keywords
0,NET-F-001,.NET Developer,Fresher,Assist in coding and debugging applications; Learn and apply .NET Framework and Core fundamentals; Support team in building ASP.NET MVC web applications; Write basic SQL queries and work with Entity Framework; Collaborate with peers to solve issues; Participate in code reviews for learning; Follow best practices in coding; Work with version control (Git),.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; LINQ; Visual Studio; Unit Testing
1,NET-F-002,.NET Developer,Fresher,Write simple C# programs under guidance; Support development of ASP.NET MVC applications; Implement Razor views and front-end logic; Assist in database query writing; Participate in unit testing tasks; Learn and apply LINQ for data operations; Work with mentors for code corrections,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Razor; Unit Testing
2,NET-F-003,.NET Developer,Fresher,Contribute to development of small modules; Assist in bug fixing and debugging; Learn and implement MVC patterns; Support database integration tasks; Understand version control basics; Work on minor testing scripts; Follow coding standards,.NET; C#; ASP.NET MVC; SQL Server; Entity Framework; Git
3,NET-F-004,.NET Developer,Fresher,Support in software design documentation; Assist senior developers in testing; Create small UI components; Debug and test applications; Implement basic LINQ queries; Participate in code maintenance,.NET; C#; SQL Server; Entity Framework; ASP.NET
4,NET-F-005,.NET Developer,Fresher,Learn to design and build ASP.NET applications; Assist in connecting apps to SQL Server; Work on UI development; Participate in daily standups; Write small unit test cases,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server
5,NET-F-006,.NET Developer,Fresher,Assist in Razor page development; Learn version control processes; Perform debugging under supervision; Support data access layer coding; Contribute to testing efforts,.NET; C#; ASP.NET; Razor; SQL Server; Unit Testing
6,NET-F-007,.NET Developer,Fresher,Support team in MVC project development; Help in resolving minor bugs; Write basic SQL queries; Collaborate with developers for tasks; Participate in project discussions,.NET; C#; ASP.NET MVC; SQL Server
7,NET-F-008,.NET Developer,Fresher,Assist in building backend modules; Learn and apply Entity Framework; Help in writing LINQ queries; Support bug fixing; Write basic documentation,.NET; C#; ASP.NET MVC; Entity Framework; LINQ; SQL Server
8,NET-F-009,.NET Developer,Fresher,Write simple ASP.NET pages; Collaborate with design team; Assist in database operations; Perform code reviews with seniors; Learn about MVC patterns,.NET; C#; ASP.NET; SQL Server
9,NET-F-010,.NET Developer,Fresher,Support new feature development; Assist with application configuration; Help in database schema setup; Perform small unit testing tasks; Follow agile methodology basics,.NET; C#; ASP.NET MVC; Entity Framework; SQL Server; Git
10,NET-E-011,.NET Developer,Experienced,Design and develop advanced .NET applications; Implement microservices with ASP.NET Core; Manage SQL Server database performance; Develop REST APIs; Deploy applications using Docker; Integrate with Azure cloud services,.NET Core; C#; ASP.NET MVC; Microservices; Azure; Entity Framework; REST APIs; Docker
11,NET-E-012,.NET Developer,Experienced,Architect scalable .NET Core solutions; Implement design patterns in projects; Lead database optimization efforts; Manage CI/CD pipelines with Azure DevOps; Collaborate with cross-functional teams,.NET Core; C#; ASP.NET MVC; SOLID; Azure DevOps; Entity Framework
12,NET-E-013,.NET Developer,Experienced,Develop microservices architecture; Work with Docker and Kubernetes for deployment; Integrate with Azure services; Lead junior developers; Optimize application performance,.NET Core; C#; Microservices; Docker; Kubernetes; Azure
13,NET-E-014,.NET Developer,Experienced,Develop RESTful APIs and real-time apps; Implement SignalR for live communication; Work with SQL Server and NoSQL databases; Lead module development; Ensure application scalability,.NET Core; C#; ASP.NET MVC; WebAPI; SignalR; Entity Framework
14,NET-E-015,.NET Developer,Experienced,Develop front-end with Blazor/Angular; Implement repository pattern with Dapper; Optimize SQL Server queries; Enhance UI/UX for applications; Mentor junior team members,.NET Core; C#; ASP.NET MVC; Blazor; Angular; SQL Server; Dapper
15,NET-E-016,.NET Developer,Experienced,Develop and maintain microservices; Create CI/CD pipelines; Ensure testing coverage with NUnit; Deploy apps with Docker; Collaborate with QA team,.NET Core; C#; ASP.NET MVC; REST APIs; Docker; Azure DevOps; NUnit
16,NET-E-017,.NET Developer,Experienced,Build RESTful and gRPC APIs; Integrate services with Azure; Design database schemas; Monitor system performance; Provide technical leadership,.NET Core; C#; WebAPI; gRPC; SQL Server; Azure
